Rank,Name,GM,W-L,OPP FG,OPP FGA,OPP FG%
299,Dartmouth (Ivy League) ,27,7-20 ,724,1552,46.6
300,Northwestern St. (Southland) ,29,4-25 ,789,1691,46.7
301,Howard (MEAC) ,33,10-23 ,931,1992,46.7
302,Washington St. (Pac-12) ,30,12-18 ,858,1835,46.8
303,Prairie View (SWAC) ,33,16-17 ,849,1815,46.8
304,Morehead St. (OVC) ,29,8-21 ,765,1634,46.8
305,Dayton (Atlantic 10) ,30,14-16 ,796,1698,46.9
306,UMES (MEAC) ,32,7-25 ,882,1879,46.9
307,Loyola Maryland (Patriot) ,31,9-22 ,805,1714,47
308,Northern Ariz. (Big Sky) ,32,5-27 ,859,1828,47
309,IUPUI (Horizon) ,30,11-19 ,759,1614,47
310,St. Francis Brooklyn (NEC) ,31,13-18 ,810,1720,47.1
311,Eastern Ky. (OVC) ,31,11-20 ,849,1801,47.1
312,Illinois (Big Ten) ,32,14-18 ,788,1669,47.2
313,California (Pac-12) ,31,8-23 ,825,1746,47.3
314,Mississippi Val. (SWAC) ,32,4-28 ,862,1823,47.3
315,Presbyterian (Big South) ,32,11-21 ,837,1769,47.3
316,Southern Utah (Big Sky) ,30,12-18 ,832,1758,47.3
317,Marquette (Big East) ,30,18-12 ,822,1732,47.5
318,Brown (Ivy League) ,27,11-16 ,741,1558,47.6
319,SIUE (OVC) ,30,9-21 ,792,1664,47.6
320,Montana St. (Big Sky) ,32,13-19 ,897,1884,47.6
321,North Florida (ASUN) ,33,14-19 ,1120,2350,47.7
322,UNCW (CAA) ,32,11-21 ,940,1970,47.7
323,Florida A&M (MEAC) ,33,9-24 ,936,1961,47.7
324,Hofstra (CAA) ,31,19-12 ,874,1831,47.7
325,Southeast Mo. St. (OVC) ,31,14-17 ,857,1795,47.7
326,Portland St. (Big Sky) ,31,19-12 ,867,1815,47.8
327,Charlotte (C-USA) ,29,6-23 ,842,1762,47.8
328,Alabama A&M (SWAC) ,31,3-28 ,881,1843,47.8
329,Kennesaw St. (ASUN) ,30,10-20 ,862,1802,47.8
330,Chattanooga (SoCon) ,33,10-23 ,902,1880,48
331,Omaha (Summit League) ,31,9-22 ,951,1981,48
332,The Citadel (SoCon) ,32,11-21 ,1020,2123,48
333,Houston Baptist (Southland) ,31,6-25 ,912,1895,48.1
334,Detroit Mercy (Horizon) ,32,8-24 ,959,1989,48.2
335,New Mexico (MWC) ,31,17-14 ,851,1754,48.5
336,UMass Lowell (America East) ,30,12-18 ,862,1772,48.6
337,American (Patriot) ,30,6-24 ,776,1595,48.7
338,William & Mary (CAA) ,31,19-12 ,928,1907,48.7
339,Richmond (Atlantic 10) ,30,11-19 ,830,1704,48.7
340,Pepperdine (WCC) ,32,6-26 ,887,1821,48.7
341,Samford (SoCon) ,32,10-22 ,957,1960,48.8
342,North Dakota (Big Sky) ,31,12-19 ,912,1862,49
343,Arkansas St. (Sun Belt) ,31,11-20 ,880,1790,49.2
344,South Carolina St. (MEAC) ,32,10-22 ,963,1956,49.2
345,Bryant (NEC) ,31,3-28 ,921,1867,49.3
346,Loyola Marymount (WCC) ,31,11-20 ,817,1645,49.7
347,Chicago St. (WAC) ,31,3-28 ,913,1838,49.7
348,Savannah St. (MEAC) ,31,15-16 ,1078,2168,49.7
349,USC Upstate (ASUN) ,32,7-25 ,967,1929,50.1
350,Santa Clara (WCC) ,31,11-20 ,821,1636,50.2
351,Youngstown St. (Horizon) ,32,8-24 ,943,1852,50.9
