Rank,Name,GM,W-L,FGM,FGA,FG%
260,East Carolina (AAC) ,29,10-19 ,722,1674,43.1
261,Minnesota (Big Ten) ,32,15-17 ,850,1971,43.1
262,Ga. Southern (Sun Belt) ,31,20-11 ,816,1893,43.1
263,Harvard (Ivy League) ,29,17-12 ,694,1610,43.1
264,Southern Utah (Big Sky) ,30,12-18 ,770,1787,43.1
265,USC Upstate (ASUN) ,32,7-25 ,881,2045,43.1
266,La Salle (Atlantic 10) ,31,13-18 ,796,1848,43.1
267,Norfolk St. (MEAC) ,32,14-18 ,831,1930,43.1
268,Morehead St. (OVC) ,29,8-21 ,712,1655,43
269,Grand Canyon (WAC) ,30,20-10 ,755,1757,43
270,Bradley (MVC) ,33,20-13 ,768,1788,43
271,Santa Clara (WCC) ,31,11-20 ,718,1674,42.9
272,Kent St. (MAC) ,32,16-16 ,825,1925,42.9
272,Little Rock (Sun Belt) ,31,7-24 ,726,1694,42.9
274,Incarnate Word (Southland) ,28,7-21 ,671,1566,42.8
275,DePaul (Big East) ,30,11-19 ,796,1859,42.8
276,FIU (C-USA) ,31,14-17 ,791,1851,42.7
277,Youngstown St. (Horizon) ,32,8-24 ,902,2111,42.7
278,UCF (AAC) ,30,18-12 ,652,1526,42.7
279,Duquesne (Atlantic 10) ,31,16-15 ,778,1823,42.7
280,Northwestern (Big Ten) ,32,15-17 ,773,1813,42.6
281,Radford (Big South) ,34,22-12 ,802,1882,42.6
282,Brown (Ivy League) ,27,11-16 ,695,1631,42.6
283,Presbyterian (Big South) ,32,11-21 ,749,1760,42.6
284,South Carolina St. (MEAC) ,32,10-22 ,829,1948,42.6
285,Georgia Tech (ACC) ,32,13-19 ,753,1770,42.5
286,Tennessee St. (OVC) ,30,15-15 ,669,1574,42.5
287,Sam Houston St. (Southland) ,31,18-13 ,770,1813,42.5
288,Georgia (SEC) ,30,16-14 ,702,1653,42.5
289,IUPUI (Horizon) ,30,11-19 ,731,1723,42.4
290,Howard (MEAC) ,33,10-23 ,847,1997,42.4
