Rank,Team,GM,W-L,TO
321,Coastal Caro. (Sun Belt) ,31,14-17 ,469
323,UT Arlington (Sun Belt) ,31,19-12 ,470
324,Tennessee Tech (OVC) ,33,19-14 ,471
325,Jacksonville (ASUN) ,33,15-18 ,472
326,Central Conn. St. (NEC) ,32,14-18 ,473
327,Nicholls St. (Southland) ,31,21-10 ,474
327,Monmouth (MAAC) ,31,11-20 ,474
329,Western Caro. (SoCon) ,32,13-19 ,476
329,San Jose St. (MWC) ,29,4-25 ,476
329,FGCU (ASUN) ,34,23-11 ,476
332,Grambling (SWAC) ,31,17-14 ,477
332,The Citadel (SoCon) ,32,11-21 ,477
334,North Florida (ASUN) ,33,14-19 ,478
335,Lipscomb (ASUN) ,32,23-9 ,480
336,LIU Brooklyn (NEC) ,34,18-16 ,481
337,Manhattan (MAAC) ,31,14-17 ,482
338,Siena (MAAC) ,32,8-24 ,483
339,Ill.-Chicago (Horizon) ,32,17-15 ,484
340,SFA (Southland) ,31,25-6 ,487
341,Long Beach St. (Big West) ,32,15-17 ,488
341,Marist (MAAC) ,31,6-25 ,488
343,Robert Morris (NEC) ,33,16-17 ,490
344,Bethune-Cookman (MEAC) ,31,18-13 ,491
344,Delaware St. (MEAC) ,32,4-28 ,491
346,Northwestern St. (Southland) ,29,4-25 ,496
346,Norfolk St. (MEAC) ,32,14-18 ,496
348,Northern Ariz. (Big Sky) ,32,5-27 ,497
348,Maine (America East) ,32,6-26 ,497
350,Alabama A&M (SWAC) ,31,3-28 ,514
351,Longwood (Big South) ,33,7-26 ,516
