Rank,Team,GM,W-L,TO,TOPG
306,Indiana St. (MVC) ,31,13-18 ,447,14.4
307,Coppin St. (MEAC) ,32,5-27 ,462,14.4
308,UT Martin (OVC) ,31,10-21 ,449,14.5
309,North Florida (ASUN) ,33,14-19 ,478,14.5
310,Ark.-Pine Bluff (SWAC) ,32,13-20 ,468,14.6
311,Valparaiso (MVC) ,32,15-17 ,469,14.7
312,California (Pac-12) ,32,8-24 ,470,14.7
313,VMI (SoCon) ,30,9-21 ,442,14.7
313,Tennessee St. (OVC) ,30,15-15 ,442,14.7
315,Charlotte (C-USA) ,29,6-23 ,428,14.8
316,Central Conn. St. (NEC) ,32,14-18 ,473,14.8
317,Rice (C-USA) ,31,7-24 ,460,14.8
318,Robert Morris (NEC) ,33,16-17 ,490,14.8
318,Stanford (Pac-12) ,33,18-15 ,490,14.8
320,Western Caro. (SoCon) ,32,13-19 ,476,14.9
321,Sacred Heart (NEC) ,31,10-21 ,462,14.9
322,The Citadel (SoCon) ,32,11-21 ,477,14.9
323,Coastal Caro. (Sun Belt) ,32,14-18 ,479,15
323,South Ala. (Sun Belt) ,32,14-18 ,479,15
325,Lipscomb (ASUN) ,32,23-9 ,480,15
326,Denver (Summit League) ,30,15-15 ,451,15
327,Chicago St. (WAC) ,32,3-29 ,483,15.1
327,Siena (MAAC) ,32,8-24 ,483,15.1
329,Ill.-Chicago (Horizon) ,32,17-15 ,484,15.1
330,UT Arlington (Sun Belt) ,31,19-12 ,470,15.2
331,Long Beach St. (Big West) ,33,15-18 ,501,15.2
332,Georgetown (Big East) ,30,15-15 ,458,15.3
333,Monmouth (MAAC) ,31,11-20 ,474,15.3
333,Nicholls St. (Southland) ,31,21-10 ,474,15.3
335,Delaware St. (MEAC) ,32,4-28 ,491,15.3
336,Norfolk St. (MEAC) ,33,14-19 ,507,15.4
337,Grambling (SWAC) ,31,17-14 ,477,15.4
337,New Orleans (Southland) ,31,15-16 ,477,15.4
339,Maine (America East) ,32,6-26 ,497,15.5
339,Northern Ariz. (Big Sky) ,32,5-27 ,497,15.5
341,Manhattan (MAAC) ,31,14-17 ,482,15.5
342,Longwood (Big South) ,33,7-26 ,516,15.6
343,SFA (Southland) ,32,26-6 ,502,15.7
344,Morehead St. (OVC) ,29,8-21 ,456,15.7
345,Marist (MAAC) ,31,6-25 ,488,15.7
346,Bethune-Cookman (MEAC) ,32,18-14 ,507,15.8
347,Incarnate Word (Southland) ,28,7-21 ,444,15.9
348,A&M-Corpus Christi (Southland) ,29,11-18 ,462,15.9
349,San Jose St. (MWC) ,30,4-26 ,490,16.3
350,Alabama A&M (SWAC) ,31,3-28 ,514,16.6
351,Northwestern St. (Southland) ,29,4-25 ,496,17.1
