Rank,Team,GM,W-L,AST,APG
337,UMES (MEAC) ,32,7-25 ,347,10.8
338,UNI (MVC) ,32,16-16 ,345,10.8
339,UCF (AAC) ,30,18-12 ,323,10.8
340,UTEP (C-USA) ,30,11-19 ,319,10.6
341,Coppin St. (MEAC) ,32,5-27 ,338,10.6
342,UConn (AAC) ,31,14-17 ,323,10.4
343,Mississippi Val. (SWAC) ,32,4-28 ,327,10.2
344,Ga. Southern (Sun Belt) ,31,20-11 ,316,10.2
345,Alabama St. (SWAC) ,31,8-23 ,313,10.1
346,California (Pac-12) ,31,8-23 ,310,10
347,Longwood (Big South) ,33,7-26 ,327,9.9
348,Northern Ariz. (Big Sky) ,32,5-27 ,314,9.8
349,Rutgers (Big Ten) ,34,15-19 ,333,9.8
350,Northwestern St. (Southland) ,29,4-25 ,279,9.6
351,Northern Ill. (MAC) ,32,13-19 ,296,9.3
